id,lead_key,phone,business_name,state,suburb,address,sector_level_1,sector_level_2,sector_level_3,merchant_size_estimate,location_tier,google_rating,google_rating_count
2313496,L_61292663112,61292663112,Mezz Restaurant At The Hotel Coronation,NSW,Sydney,7 Park St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,4.5,64
2313493,L_61292660055,61292660055,New Image International,NSW,Sydney,G Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,5,1
2313499,L_61292671577,61292671577,Namtip Thai Restaurant Karaoke Club,NSW,Sydney,Shop M3 580 George Street Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurant,Large,High,4.8,125
2313504,L_61292675148,61292675148,Hotel Coronation,NSW,Sydney,5-7 Park St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurant,Large,High,4,527
2313513,L_61292678286,61292678286,Cafe Americana,NSW,Sydney,Queen Victoria Building Sydney NSW 2000,F&B,Dine-in Restaurant,cafe,Large,High,4,173
2313491,L_61292652500,61292652500,Taylor & Scott,NSW,Sydney,Pitt Street 2000 Sydney,F&B,Dine-in Restaurant,Restaurant,Large,High,4.9,329
2313509,L_61292675960,61292675960,Mama Maria Bistro,NSW,Sydney,249 Castlereagh Street Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurant,Large,High,4,1
2313490,L_61292649826,61292649826,Diethnes Greek Restaurant,NSW,Sydney,336 Pitt St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,4.3,691
2313492,L_61292657100,61292657100,Regent Seven Seas Cruises,NSW,Sydney,179 Elizabeth St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,3.5,40
2313508,L_61292675878,61292675878,Umami,NSW,Sydney,73 Bathurst St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,4.5,146
2313487,L_61292648986,61292648986,Petit Espresso,NSW,Sydney,QVB Shp11/ George St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,3,1
2313503,L_61292674150,61292674150,Omni Cafe,NSW,Sydney,125 Bathurst Street Sydney NSW 2000,F&B,Dine-in Restaurant,cafe,Large,High,4.4,1697
2313529,L_61292690399,61292690399,Obaltan Restaurant,NSW,Sydney,363 Pitt St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,4.5,2020
2313533,L_61292731235,61292731235,Cafe Trim,NSW,Sydney,Macquarie St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,3.4,137
2313519,L_61292679382,61292679382,Meetfresh Australia Pty Ltd,NSW,Sydney,The Summit Shp 351/ 569 George St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4,331
2313521,L_61292679989,61292679989,Tom N Tom's Coffee,NSW,Sydney,97 Bathurst St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4.5,420
2313520,L_61292679674,61292679674,Kofoo Sussex Pty Ltd,NSW,Sydney,345b Sussex St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,5,1
2313525,L_61292683000,61292683000,Clubsnsw IP Holdings,NSW,Sydney,51 Druitt Street 2000 Sydney,F&B,Dine-in Restaurant,Restaurant,Large,High,1.2,105
2313524,L_61292680900,61292680900,Manna Healthy Way,NSW,Sydney,Shop F12a 7-13 Hunter St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4.2,26
2313526,L_61292690004,61292690004,The Chocolate Room,NSW,Sydney,"Maestri Towers, Shop 210, Cnr Sussex & Bathurst Sts Sydney NSW 2000",F&B,Dine-in Restaurant,Cafe,Large,High,3.9,7
2313547,L_61292801006,61292801006,Petaling Street,NSW,Sydney,"760 George St Haymarket, Sydney NSW 2000",F&B,Dine-in Restaurant,Restaurants,Large,High,4.1,38009
2313558,L_61292811054,61292811054,Cru54 Kitchen & Bar,NSW,Surry Hills,54 Foveaux St Surry Hills NSW 2010,F&B,Dine-in Restaurant,Restaurant,Large,High,2.5,2
2313553,L_61292804257,61292804257,C-Town Convenience Store Pty Ltd,NSW,Surry Hills,29 Albion Street Surry Hills NSW 2010,F&B,Others,Food,Large,High,2.6,22
2313554,L_61292810101,61292810101,Suze's Steak Kebab,NSW,Sydney,760 George Street Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurant,Large,High,4.7,127
2313561,L_61292812415,61292812415,Indian Brasserie,NSW,Sydney,71 Goulburn Street Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurant,Large,High,5,284
2313564,L_61292812880,61292812880,Robocog,NSW,Surry Hills,"249 Riley St Surry Hills, Sydney NSW 2010",F&B,Dine-in Restaurant,Cafe,Large,High,4.4,28
2313545,L_61292793050,61292793050,Serigo Espresso,NSW,Sydney,101 York St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4.1,44
2313551,L_61292802945,61292802945,Marigold Restaurant,NSW,Sydney,"Lvl 4 & 5, 683 George St Haymarket, Sydney NSW 2000",F&B,Dine-in Restaurant,Restaurants,Large,High,5,2
2313544,L_61292792988,61292792988,Ntice on George,NSW,Sydney,357-363 George St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,3.7,544
2313585,L_61292818589,61292818589,Vitamin Plus,NSW,Surry Hills,"2 Chalmers St Surry Hills, Sydney NSW 2010",F&B,Dine-in Restaurant,Cafe,Large,High,4.4,51
2313569,L_61292813899,61292813899,Cash Box Karaoke KTV Nightclub,NSW,Sydney,China Town 63- 69 Dixon St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,5,1
2313584,L_61292818322,61292818322,Passionflower,NSW,Sydney,Shp 12/ 742 George St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4,14
2313589,L_61292819191,61292819191,Restaurant Mission Incorporated,NSW,Sydney,17 Valentine St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,,
2313579,L_61292816979,61292816979,Hifu Cafe Pty Ltd,NSW,Sydney,Shp03g/ 323 Castlereagh St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,,
2313571,L_61292814822,61292814822,Link Expresso Bar,NSW,Ultimo,Shop 122 Broadway Shopping Centre Ultimo NSW 2007,F&B,Dine-in Restaurant,Restaurant,Large,High,4.8,57
2313581,L_61292817241,61292817241,Bohemian Gas Co The,NSW,Surry Hills,410 Elizabeth Street Surry Hills NSW 2010,F&B,Dine-in Restaurant,Restaurant,Large,High,5,4
2313570,L_61292814071,61292814071,Stazione Espresso Coffee,NSW,Surry Hills,"Shp1/ 35 Foster St Surry Hills, Sydney NSW 2010",F&B,Dine-in Restaurant,Cafe,Large,High,2.5,103
2313586,L_61292818700,61292818700,TAS Pacific Foods Pty Ltd,NSW,Sydney,398 Pitt Street Sydney NSW 2000,F&B,Others,Food,Large,High,3.5,4
2313614,L_61292834777,61292834777,Malaysian Laksa House,NSW,Sydney,429-481 George St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,4.3,94
2313602,L_61292831443,61292831443,Bar Adyar cafe,NSW,Sydney,484 Kent St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,3.5,2
2313605,L_61292831922,61292831922,Restaurant Arras,NSW,Sydney,204 Clarence St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,4.7,843
2313592,L_61292819643,61292819643,White Box Architects,NSW,Surry Hills,Level 5 68-72 Wentworth Avenue Surry Hills NSW 2010,F&B,Dine-in Restaurant,Restaurant,Large,High,4.7,24
2313603,L_61292831865,61292831865,Karvs Take-Away Food,NSW,Sydney,265 Castlereagh Street Sydney NSW 2000,F&B,Others,Food,Large,High,,
2313604,L_61292831892,61292831892,Gotham Restaurant & Bar,NSW,Darlinghurst,"35 Oxford St Darlinghurst, Sydney NSW 2010",F&B,Dine-in Restaurant,Restaurants,Large,High,4,1
2313611,L_61292834009,61292834009,Qube Espresso & Chocolate,NSW,Sydney,Shop 1 / 137 - 139 Bathurst St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4.3,279
2313606,L_61292832544,61292832544,Victoria Galleries Cafe,NSW,Sydney,500 George St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,3.8,97
2313612,L_61292834268,61292834268,Arras Too,NSW,Sydney,204 Clarence St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,,
2313626,L_61292902106,61292902106,Sub York Cafe,NSW,Sydney,36 York St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,,
2313633,L_61292910253,61292910253,JB's Bar and Grill,NSW,Haymarket,"68 Harbour St, Haymarket, New South Wales, 2000, Australia",F&B,Others,Food  drink,Large,High,4.3,58
2313624,L_61292866657,61292866657,Botanica Brasserie,NSW,Sydney,"Sheraton On The Park, 161 Elizabeth St Sydney NSW 2000",F&B,Dine-in Restaurant,Restaurant,Large,High,5,1
2313638,L_61292990080,61292990080,Biscotti Bar,NSW,Sydney,Shp2a/ 36 Clarence St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4.4,925
2313734,L_61293311992,61293311992,Chimmichurri Bar & Grill,NSW,Darlinghurst,"23 Ward Ave Darlinghurst, Sydney NSW 2010",F&B,Dine-in Restaurant,Restaurants,Large,High,4.5,135
2313733,L_61293311936,61293311936,Exchange Hotel,NSW,Darlinghurst,"34 Oxford St Darlinghurst, Sydney NSW 2010",F&B,Dine-in Restaurant,Restaurants,Large,High,3.8,588
2313828,L_61293607865,61293607865,Kika Tapas Bar,NSW,Darlinghurst,"247 Victoria St Darlinghurst, Sydney NSW 2010",F&B,Dine-in Restaurant,Restaurants,Large,High,3.9,9
2313932,L_61294177070,61294177070,Planet Mino Kids Club,NSW,Chatswood,"1 Smith St, Chatswood, New South Wales, 2067, Australia",F&B,Others,Food  drink,Large,High,4,801
2314038,L_61295410983,61295410983,Anmac,NSW,Sydney,6 Brice Close 2234 Sydney - Illawong,F&B,Cafe & Dessert,Ice Cream Shop,Large,High,4.1,39
2275011,L_61282037833,61282037833,BD's Food Hall,NSW,Darlinghurst,"251 Oxford St, Darlinghurst NSW 2010, Australia",F&B,Others,Catering,Large,High,,
2314271,L_61296609952,61296609952,Foodies Glebe,NSW,Sydney,"38 Ross St Glebe, Sydney NSW 2037",F&B,Dine-in Restaurant,Cafe,Large,High,5,18
2314368,L_61296987561,61296987561,Sette Espresso Eatery Bar,NSW,Sydney,"8 Central Ave Eveleigh, Sydney NSW 2015",F&B,Dine-in Restaurant,Cafe,Large,High,3.8,155
2314371,L_61296988108,61296988108,Mad Spuds Cafe,NSW,Surry Hills,"479 Crown St Surry Hills, Sydney NSW 2010",F&B,Dine-in Restaurant,Cafe,Large,High,4.5,273
2314385,L_61296996068,61296996068,New Shalimar Movies & Spices,NSW,Surry Hills,"642 Crown St Surry Hills, Sydney NSW 2010",F&B,Dine-in Restaurant,Restaurants,Large,High,3.9,40
2314393,L_61296999999,61296999999,Khukuri Cafe & Restaurant,NSW,Surry Hills,"567 Crown St Surry Hills, Sydney NSW 2010",F&B,Dine-in Restaurant,Restaurants,Large,High,3.9,1441
2314494,L_61297589090,61297589090,Sushi Bluefin,NSW,Sydney,420 Burwood Rd Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,4.7,976
2314528,L_61297971356,61297971356,Eagle Boys Pizza,NSW,Parramatta,582/586 Parramatta Road Ashfield NSW 2131,F&B,Dine-in Restaurant,Restaurant,Large,High,4,97
2314536,L_61298041475,61298041475,Yue Kong Chinese Restaurant,NSW,Sydney,1 Lakeside Road 2122 Sydney - Eastwood,F&B,Dine-in Restaurant,Restaurant,Large,High,3.8,257
2314547,L_61298091666,61298091666,Wild Boys Afloat,NSW,Sydney,Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurant,Large,High,3.5,41
2314569,L_61298227609,61298227609,Warwick Farm Trackside Market,NSW,Sydney,Hume Highway 2170 Sydney - Warwick Farm,F&B,Quick-Service / Takeaway,Fast Food,Large,High,4.4,171
2314578,L_61298291251,61298291251,Babybao Edmondson,NSW,Sydney,15 Rabett Crescent 2171 Sydney - Horningsea Park,F&B,Quick-Service / Takeaway,Fast Food,Large,High,3.8,136
2314584,L_61298413344,61298413344,Van Hygan & Smythe Inc,NSW,Parramatta,55 Phillip Street Parramatta NSW 2150,F&B,Others,Food,Large,High,4.8,25
2314600,L_61298782452,61298782452,Big Mouth Cafe,NSW,Pyrmont,"139 Harris St Pyrmont, Sydney NSW 2009",F&B,Dine-in Restaurant,Cafe,Large,High,4.2,72
2314602,L_61298808834,61298808834,4Cats Lindfield,NSW,Sydney,323 Pacific Highway 2070 Sydney - Lindfield,F&B,Quick-Service / Takeaway,Fast Food,Large,High,4.4,22
2314607,L_61298848669,61298848669,Dal Myles Special Tours,NSW,Chatswood,"suite 222 / 3-9 Spring St, Chatswood, New South Wales, 2067, Australia",F&B,Others,Food  drink,Large,High,,
2314608,L_61298849855,61298849855,The Athlete’S Foot Chatswood,NSW,Chatswood,1 Anderson Street 2067 Sydney - Chatswood,F&B,Quick-Service / Takeaway,Fast Food,Large,High,4.1,179
2314620,L_61298919332,61298919332,Le Croissant Connection Bakery Cafe,NSW,Parramatta,Shop 206 Westfield Shopping Centre Parramatta NSW 2150,F&B,Dine-in Restaurant,cafe,Large,High,3.8,457
2314674,L_61299498261,61299498261,Actil,NSW,Sydney,15 Seaview Street 2093 Sydney - Balgowlah,F&B,Cafe & Dessert,Ice Cream Shop,Large,High,3,30
2314767,L_61352322400,61352322400,Superior Burger,NSW,Sydney,30 Bulls Road 2176 Sydney - Wakeley,F&B,Quick-Service / Takeaway,Fast Food,Large,High,4.3,1828
2314873,L_61409814039,61409814039,Suzymango,NSW,Sydney,300 Pitt St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,,
2314983,L_61416597749,61416597749,The Butter Shack,NSW,Parramatta,"4 Parramatta Rd, Homebush, New South Wales, 2140, Australia",F&B,Others,Food  drink,Large,High,,
2314985,L_61416700816,61416700816,GM Parramatta,NSW,Parramatta,281 Church Street 2150 Sydney - Parramatta,F&B,Dine-in Restaurant,Restaurant,Large,High,4.5,563
2314995,L_61417574953,61417574953,Frostbite Frozen Yogurt,NSW,Sydney,7 Oaks Avenue 2099 Sydney - Dee Why,F&B,Cafe & Dessert,Ice Cream Shop,Large,High,5,4
2315016,L_61420501540,61420501540,The Blind Bear,NSW,Sydney,26 Cronulla Street 2230 Sydney - Cronulla,F&B,Quick-Service / Takeaway,Fast Food,Large,High,4.6,424
2315063,L_61424844161,61424844161,Souvlaki On The Run,NSW,Sydney,62 Richmond Street 2206 Sydney - Earlwood,F&B,Quick-Service / Takeaway,Fast Food,Large,High,4.8,117
2315076,L_61426150260,61426150260,Nang Deal Sydney,NSW,Sydney,Sydney NSW 2020,F&B,Dine-in Restaurant,Restaurant Kitchen Equipment,Large,High,,
2315077,L_61426377228,61426377228,Emergency Relief,NSW,Sydney,"Phillip Street, Sydney NSW 2000",F&B,Others,meals,Large,High,3.9,42
2315088,L_61430011315,61430011315,Sushia (Rhodes),NSW,Sydney,1 Rider Boulevard 2138 Sydney - Rhodes,F&B,Dine-in Restaurant,Restaurant,Large,High,4.7,375
2315090,L_61430139191,61430139191,Tanjore Indian,NSW,Sydney,"34 Glebe Point Rd Glebe, Sydney NSW 2037",F&B,Dine-in Restaurant,Restaurants,Large,High,4.3,704
2315091,L_61430211330,61430211330,Spice Boys @ Hunter Connection,NSW,Sydney,B12 7-13 Hunter St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,3.8,181
2315092,L_61430270104,61430270104,Tahmina's,NSW,Surry Hills,"435 Cleveland St Surry Hills, Sydney NSW 2010",F&B,Dine-in Restaurant,Restaurants,Large,High,,
2315095,L_61430916370,61430916370,Ps40,NSW,Sydney,40 King Street 2000 Sydney,F&B,Dine-in Restaurant,Restaurant,Large,High,4.6,627
2315099,L_61431113947,61431113947,Butter Chatswood,NSW,Chatswood,"Shop B/39 345 Victoria Ave, Chatswood, New South Wales, 2067, Australia",F&B,Others,Food  drink,Large,High,4.1,103
2315100,L_61431220981,61431220981,Im Aroi Thai Restaurant,NSW,Sydney,273 Fowler Road 2234 Sydney - Illawong,F&B,Dine-in Restaurant,Restaurant,Large,High,4.5,41
2315103,L_61431791424,61431791424,Fortuna,NSW,Darlinghurst,"247 Victoria Street Darlinghurst, Sydney NSW 2010",F&B,Dine-in Restaurant,Restaurants,Large,High,4.3,725
2315109,L_61432695514,61432695514,The Fox Hole,NSW,Sydney,1 Erskine St Sydney NSW 2000,F&B,Quick-Service / Takeaway,Takeaway,Large,High,4.4,600
2315116,L_61433316004,61433316004,Stockroom Cafe,NSW,Pyrmont,100 Harris Street 2009 Sydney - Pyrmont,F&B,Bar / Pub / Nightlife,Café Bar  Club,Large,High,4.2,78
2315118,L_61433449994,61433449994,Little Sambal Dancer @ The Corner Cafe,NSW,Sydney,23 Mountain St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4.7,87
2315127,L_61434394633,61434394633,Mulberry Tree Cafe,NSW,Parramatta,"5/2 Macquarie St, Parramatta, New South Wales, 2150, Australia",F&B,Others,Food  drink,Large,High,4.5,136
2315120,L_61433660377,61433660377,Nalini'S,NSW,Sydney,263 Bronte Road 2024 Sydney,F&B,Cafe & Dessert,Ice Cream Shop,Large,High,4.1,17
2315137,L_61435526716,61435526716,CB Roasters,NSW,Sydney,7 Clyde Street 2116 Sydney - Rydalmere,F&B,Quick-Service / Takeaway,Fast Food,Large,High,,
2315246,L_61572632003,61572632003,Eat N Chill,NSW,Sydney,272 Willoughby Road 2065 Sydney - Naremburn,F&B,Bar / Pub / Nightlife,Café Bar  Club,Large,High,4.4,416
2315251,L_61631356607,61631356607,Kurnell 1770,NSW,Sydney,1 Captain Cook Drive 2231 Sydney - Kurnell,F&B,Bar / Pub / Nightlife,Café Bar  Club,Large,High,4,387
2315252,L_61631873216,61631873216,Simon Bistro,NSW,Sydney,946 ANZAC Parade 2035 Sydney - Maroubra,F&B,Dine-in Restaurant,Restaurant,Large,High,4.4,115
2315256,L_61641166910,61641166910,Vagabond Cruises,NSW,Pyrmont,37 Bank Street 2009 Sydney - Pyrmont,F&B,Dine-in Restaurant,Restaurant,Large,High,4.3,488
